TimeStamp,GET,SET
2025-01-12 18:40:42,99741.30,99671.79
2025-01-12 18:40:45,99677.21,99403.87
2025-01-12 18:40:48,99654.27,99684.05
2025-01-12 18:40:51,99628.21,99719.58
2025-01-12 18:40:54,99574.24,99447.79
2025-01-12 18:40:57,99571.59,99665.75
2025-01-12 18:41:00,99707.15,99635.28
2025-01-12 18:41:03,99568.35,99657.80
2025-01-12 18:41:06,99755.42,99580.81
2025-01-12 18:41:09,99294.01,99711.25
2025-01-12 18:41:12,99744.45,99725.64
2025-01-12 18:41:15,99745.59,99497.88
2025-01-12 18:41:18,99683.15,99667.33
2025-01-12 18:41:21,99530.91,99689.04
2025-01-12 18:41:24,99513.84,99422.05
2025-01-12 18:41:27,99602.26,99520.25
2025-01-12 18:41:30,99703.44,99597.13
2025-01-12 18:41:33,99671.83,99669.98
2025-01-12 18:41:36,99688.17,99681.73
2025-01-12 18:41:39,99647.47,99597.83
2025-01-12 18:41:42,99716.66,99718.67
2025-01-12 18:41:45,99460.94,99712.56
2025-01-12 18:41:48,99579.12,99691.17
2025-01-12 18:41:51,99635.14,99710.68
2025-01-12 18:41:54,99383.80,99440.10
2025-01-12 18:41:57,99688.36,99546.32
2025-01-12 18:42:00,99657.38,99698.04
2025-01-12 18:42:03,99609.58,99570.03
2025-01-12 18:42:06,99482.73,99722.12
2025-01-12 18:42:09,99679.74,99515.88
2025-01-12 18:42:12,99732.39,99662.83
2025-01-12 18:42:15,99687.96,99635.33
2025-01-12 18:42:18,99676.60,99738.69
2025-01-12 18:42:22,99556.29,99662.49
2025-01-12 18:42:25,99748.71,99632.36
2025-01-12 18:42:28,99483.51,99580.36
2025-01-12 18:42:31,99684.40,99701.32
2025-01-12 18:42:34,99733.74,99672.82
2025-01-12 18:42:37,99618.84,99605.87
2025-01-12 18:42:40,99653.79,99505.95
2025-01-12 18:42:43,99583.07,99505.32
2025-01-12 18:42:46,99608.83,99618.37
2025-01-12 18:42:49,99730.35,99673.66
2025-01-12 18:42:52,99537.26,99416.60
2025-01-12 18:42:55,99647.14,99707.45
2025-01-12 18:42:58,99438.36,99574.22
2025-01-12 18:43:01,99723.84,99635.63
2025-01-12 18:43:04,99723.32,99448.99
2025-01-12 18:43:07,99399.86,99648.04
2025-01-12 18:43:10,99669.32,99749.31
2025-01-12 18:43:13,99488.31,99595.09
2025-01-12 18:43:16,99640.70,99658.10
2025-01-12 18:43:19,99360.97,99645.11
2025-01-12 18:43:22,99712.14,99770.80
2025-01-12 18:43:25,99647.17,99679.20
2025-01-12 18:43:28,99577.10,99717.22
2025-01-12 18:43:31,99521.88,99623.83
2025-01-12 18:43:34,99752.49,99611.30
2025-01-12 18:43:37,99560.92,99631.30
