"filename", "language", "Shell Script", "Go Module File", "Makefile", "Go", "Markdown", "YAML", "Protocol Buffers", "Go Checksum File", "XML", "Go Template File", "JSON", "pip requirements", "C", "comment", "blank", "total"
"/home/base/code/container-joint-migration/vendor/github.com/davecgh/go-spew/spew/doc.go", "Go", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 2, 212
"/home/base/code/container-joint-migration/vendor/github.com/davecgh/go-spew/spew/dump.go", "Go", 0, 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 55, 510
"/home/base/code/container-joint-migration/vendor/github.com/davecgh/go-spew/spew/format.go", "Go", 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 55, 420
"/home/base/code/container-joint-migration/vendor/github.com/davecgh/go-spew/spew/spew.go", "Go", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 14, 149
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/.golangci.yml", "YAML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/CODE-OF-CONDUCT.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 115
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/GOVERNANCE.md", "Markdown", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 145
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/Makefile", "Makefile", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 26
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/SECURITY.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/distribution-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/helpers.go", "Go", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 43
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/normalize.go", "Go", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 26, 256
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/reference.go", "Go", 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 62, 433
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/regexp.go", "Go", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 31, 164
"/home/base/code/container-joint-migration/vendor/github.com/distribution/reference/sort.go", "Go", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 6, 76
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/README.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 43
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/common.go", "Go", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 21
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/swagger-gen.yaml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/swagger.yaml", "YAML", 0, 0, 0, 0, 0, 12193, 0, 0, 0, 0, 0, 0, 0, 72, 506, 12771
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/blkiodev/blkio.go", "Go", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 24
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/checkpoint/list.go", "Go", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/checkpoint/options.go", "Go", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/client.go", "Go", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 35, 258
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/change_type.go", "Go", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 16
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/change_types.go", "Go", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/config.go", "Go", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 8, 74
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/container.go", "Go", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 6, 45
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/container_top.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 5, 23
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/container_update.go", "Go", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 17
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/create_request.go", "Go", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/create_response.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/errors.go", "Go", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/exec.go", "Go", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 44
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/filesystem_change.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/hostconfig.go", "Go", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 79, 501
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/hostconfig_unix.go", "Go", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 46
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/hostconfig_windows.go", "Go", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 48
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/options.go", "Go", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 68
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/stats.go", "Go", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 27, 182
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/wait_exit_error.go", "Go", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 13
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/wait_response.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 19
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/container/waitcondition.go", "Go", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 23
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/error_response.go", "Go", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 14
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/error_response_ext.go", "Go", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/events/events.go", "Go", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 12, 136
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/filters/errors.go", "Go", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 38
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/filters/parse.go", "Go", 0, 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 50, 347
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/graph_driver_data.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 24
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/id_response.go", "Go", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 14
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/image/delete_response.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 16
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/image/image.go", "Go", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 5, 48
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/image/image_history.go", "Go", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 9, 37
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/image/opts.go", "Go", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 16, 86
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/image/summary.go", "Go", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 13, 90
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/mount/mount.go", "Go", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 16, 151
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/network/create_response.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 20
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/network/endpoint.go", "Go", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 23, 148
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/network/ipam.go", "Go", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 135
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/network/network.go", "Go", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 23, 167
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/plugin.go", "Go", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 52, 204
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/plugin_device.go", "Go", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 26
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/plugin_env.go", "Go", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 26
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/plugin_interface_type.go", "Go", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 22
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/plugin_mount.go", "Go", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 10, 38
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/plugin_responses.go", "Go", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 72
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/port.go", "Go", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 24
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/registry/authconfig.go", "Go", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 18, 100
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/registry/authenticate.go", "Go", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 22
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/registry/registry.go", "Go", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 10, 97
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/registry/search.go", "Go", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 48
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/strslice/strslice.go", "Go", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 31
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/common.go", "Go", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 49
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/config.go", "Go", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 41
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/container.go", "Go", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 120
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/network.go", "Go", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 122
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/node.go", "Go", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 19, 140
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/runtime.go", "Go", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 28
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/runtime/gen.go", "Go", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/runtime/plugin.pb.go", "Go", 0, 0, 0, 763, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 809
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/runtime/plugin.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/secret.go", "Go", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 37
"/home/base/code/container-joint-migration/vendor/github.com/docker/docker/api/types/swarm/service.go", "Go", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 30, 203
